"doc_id","nppes_provider_city","nppes_provider_state","number_of_hcpcs","total_services","total_medicare_allowed_amt","number_of_drug_hcpcs","total_drug_services","total_drug_medicare_allowed_amt","number_of_med_hcpcs","total_med_services","total_med_medicare_allowed_amt","beneficiary_average_risk_score","top_hcpcs_code_1","top_hcpcs_code_2","top_hcpcs_code_3","top_hcpcs_code_diff_submitted_received_amt_1","top_hcpcs_code_diff_submitted_received_amt_2","top_hcpcs_code_diff_submitted_received_amt_3"
"RS1427867","LAWRENCE","MA",47,1529,130178.25,NA,NA,NA,NA,NA,NA,1.4887,"95909","95910","95886",0.783986,0.7839791,0.2799084
"KM2766374","TACOMA","WA",11,55,7495.15,0,0,0,11,55,7495.15,0.862,"99214",NA,NA,0.1521737,NA,NA
"UC6874043","SPRINGFIELD","IL",20,147,14749.75,0,0,0,20,147,14749.75,1.876,"99232","95816","95819",0.35435127,0.07338235,0.061875
"MC8007270","JACKSON","MS",14,1892,143585.63,0,0,0,14,1892,143585.63,2.032,"99232","99222","99233",0.59663,0.5934362,0.5839428
"ST1331197","OCEANSIDE","CA",25,2456,99759.2,NA,NA,NA,NA,NA,NA,1.9494,"99213","99223","99215",0.7522376,0.7097336,0.695916
"IT5566840","TUCSON","AZ",39,4945,199751.33,NA,NA,NA,NA,NA,NA,1.6816,"99223","99232","99284",0.4133645,0.3990731,0.3986635
"AX2306466","OKLAHOMA CITY","OK",23,589,34764.01,NA,NA,NA,NA,NA,NA,1.7944,"92133","99215","99223",0.4867942,0.3890262,0.37469
"IY0803542","BIRMINGHAM","AL",18,407,44046.98,0,0,0,18,407,44046.98,1.9483,"99221","99222","99223",0.4316977,0.3892136,0.3356656
"FS2893869","COLUMBUS","OH",28,569,75327.74,0,0,0,28,569,75327.74,1.7222,"99223","99233","99291",0.4390808,0.4367391,0.4319355
"NP7660065","GREENSBORO","NC",19,1089,158923.62,0,0,0,19,1089,158923.62,1.9731,"95816","95957","99213",0.5505076,0.5219399,0.4352588
"TC7339886","DALLAS","TX",12,159,23366.56,0,0,0,12,159,23366.56,1.1454,"99233","99232","99291",0.3946644,0.3942756,0.2264412
"SJ5762103","AMHERST","NY",55,5379,254363.26,7,3571,19157.94,48,1808,235205.32,1.3145,"99215","99214","99213",0.5773928,0.5533717,0.5483112
"XE3489195","DETROIT","MI",16,511,105418.87,0,0,0,16,511,105418.87,2.4439,"99233","99232","99291",0.2674921,0.2661364,0.2231829
"BB0396523","CINCINNATI","OH",19,535,51661.3,0,0,0,19,535,51661.3,1.6938,"99238","99231","99239",0.4023239,0.4012305,0.4000948
"LA3675054","HILLIARD","OH",19,5729,84013.01,2,5354,31896.62,17,375,52116.39,1.7175,"99205","99215","99214",0.3390008,0.316323,0.3108865
"GQ2681105","MISSION HILLS","CA",19,252,27545.14,NA,NA,NA,NA,NA,NA,2.0395,"99223","99232","99213",0.5512662,0.5433333,0.506016
"BV2771587","COLUMBUS","OH",41,3511,122554.23,NA,NA,NA,NA,NA,NA,1.6462,"99223","99232","99222",0.4390808,0.4340128,0.4226109
"ME0720670","HERSHEY","PA",36,587,44968.52,0,0,0,36,587,44968.52,1.8799,"99308","99222","99221",0.7230949,0.3564912,0.3315301
"KG1946679","NORTH WHITE PLAINS","NY",14,664,131854.04,0,0,0,14,664,131854.04,1.8234,"99222","99232","95951",0.7839913,0.5613254,0.4471499
"XO0519315","SAN ANTONIO","TX",9,338,55546.84,0,0,0,9,338,55546.84,2.7187,"99232","99233","95951",0.1943948,0.1935377,0.1836774
"PP6392921","PHILADELPHIA","PA",11,93,18223.03,0,0,0,11,93,18223.03,2.2403,"95816","95951",NA,0.2772832,0.2014632,NA
"CR7816856","BUFFALO","NY",22,2358,101796.5,7,2088,75395.4,15,270,26401.1,1.9543,"99222","99232","99214",0.6350664,0.5781878,0.5326787
"YX4811276","NASHVILLE","TN",28,934,90302.36,0,0,0,28,934,90302.36,1.9154,"99221","99222","99231",0.4098301,0.3967463,0.3918678
"IG3843907","SAN JUAN","PR",14,89,8807.97,0,0,0,14,89,8807.97,1.7606,"99222","99205",NA,0.6599597,0.6126151,NA
"DS7912117","DOWNEY","CA",8,49,7498.39,0,0,0,8,49,7498.39,1.241,"95957",NA,NA,0.2421574,NA,NA
"RQ1574407","NEW HAVEN","CT",16,336,45742.85,0,0,0,16,336,45742.85,1.4734,"99233","99238","99232",0.2541471,0.25225,0.246161
"PB0937263","MIAMI","FL",12,298,34264.61,0,0,0,12,298,34264.61,2.2838,"99223","99231","99232",0.3377563,0.2582308,0.227344
"CL6693447","MIAMI","FL",8,90,12621.23,0,0,0,8,90,12621.23,1.3836,"99214","99204","99203",0.3292536,0.3185694,0.3055055
"KD9658428","BANGOR","ME",24,747,76499.4,0,0,0,24,747,76499.4,1.3073,"99205","99213","99222",0.3309185,0.291693,0.2908855
"KB7761249","ORO VALLEY","AZ",23,364,16979.51,NA,NA,NA,NA,NA,NA,1.0214,"99204","99214","99203",0.4555282,0.4372396,0.4208
"GZ8819130","PHOENIX","AZ",24,19886,246226.45,4,18873,101653.57,20,1013,144572.88,1.4174,"J0585","95874","95970",0.3922262,0.2973016,0.2879365
"NJ2513335","BRONX","NY",3,25,4127.36,0,0,0,3,25,4127.36,2.3369,"95819",NA,NA,0.1205333,NA,NA
"TG9778161","MARUETTA","GA",6,41,2179.48,0,0,0,6,41,2179.48,2.1534,"95885",NA,NA,0.15125,NA,NA
"XH9638842","MARTINSBURG","WV",22,2892,280561.69,0,0,0,22,2892,280561.69,1.4683,"99231","95886","99232",0.6497826,0.648611,0.6386346
"CV6150371","BIRMINGHAM","AL",36,2810,324538.1,0,0,0,36,2810,324538.1,1.4741,"99233","99204","99236",0.7468555,0.6706113,0.634128
"IM7942050","LEESBURG","FL",23,46478,581361.78,3,42900,231538.7,20,3578,349823.08,1.5843,"64615","G0180","95911",0.7579294,0.7362942,0.7093512
"UG2754055","LAS VEGAS","NV",36,32005,254087.46,2,31331,174278.68,34,674,79808.78,1.6078,"J0585","95874","99222",0.4558196,0.446015,0.3961427
"GD4163441","COVINA","CA",35,5454,128267.95,3,4646,26002.76,32,808,102265.19,2.2324,"99232","99223","99205",0.6348421,0.6292152,0.6214922
"BF5807230","GLEN BURNIE","MD",23,1311,160451.01,0,0,0,23,1311,160451.01,1.7889,"99232","95910","95908",0.7766661,0.7099091,0.7052143
"TC8789123","AKRON","OH",18,129,12807.35,0,0,0,18,129,12807.35,1.5167,"99205","99213","99214",0.1755356,0.1401761,0.1392173
