"doc_id","nppes_provider_city","nppes_provider_state","number_of_hcpcs","total_services","total_medicare_allowed_amt","number_of_drug_hcpcs","total_drug_services","total_drug_medicare_allowed_amt","number_of_med_hcpcs","total_med_services","total_med_medicare_allowed_amt","beneficiary_average_risk_score","top_hcpcs_code_1","top_hcpcs_code_2","top_hcpcs_code_3","top_hcpcs_code_diff_submitted_received_amt_1","top_hcpcs_code_diff_submitted_received_amt_2","top_hcpcs_code_diff_submitted_received_amt_3"
"CM5301795","ARLINGTON","TX",9,727,114265.97,0,0,0,9,727,114265.97,2.1528,"99222","99223","99232",0.3214328,0.3196731,0.3166486
"XT5855950","PORT JEFFERSON","NY",18,801,96955.65,0,0,0,18,801,96955.65,2.1485,"99223","99232","99285",0.2645317,0.2625007,0.2612842
"AN1214365","DAVIS","CA",29,902,73461.2,NA,NA,NA,NA,NA,NA,1.9641,"99222","99223","99232",0.3185143,0.3177929,0.3168402
"KI0892691","NAPLES","FL",22,286,46723.99,NA,NA,NA,NA,NA,NA,1.4325,"99354","99214","99205",0.588,0.5259475,0.5226787
"DR6363913","GREENVILLE","SC",47,29196,338336.78,7,28079,200633.99,40,1117,137702.79,1.6583,"64643","64616","99239",0.4157055,0.3737795,0.3697248
"LI5484583","SEATTLE","WA",19,352,47340.43,0,0,0,19,352,47340.43,1.3572,"99222","99232","99233",0.3428877,0.3377711,0.3299885
"JC8092854","PEORIA","IL",22,1293,167046.97,0,0,0,22,1293,167046.97,1.6998,"99238","99239","99233",0.3433875,0.3427,0.3396568
"TQ3105651","NEWARK","DE",17,762,108726.21,0,0,0,17,762,108726.21,2.0395,"99232","99233","99223",0.3644036,0.3618541,0.356912
"TP4256275","PITTSBURGH","PA",17,389,42979.31,0,0,0,17,389,42979.31,1.7761,"99215","99213","99214",0.3964493,0.380393,0.3502427
"OH4026307","NASHVILLE","TN",15,212,24710.06,0,0,0,15,212,24710.06,1.2734,"99232","99215","99205",0.3310507,0.2692309,0.2496198
"EA6841219","DURHAM","NC",31,811,94733.3,0,0,0,31,811,94733.3,1.4629,"99223","99232","99233",0.7478986,0.7382783,0.7313462
"DC9508212","COLUMBIA","MO",35,919,100400.5,0,0,0,35,919,100400.5,1.776,"99204","99220","99217",0.3682942,0.3509005,0.340566
"QK6021344","HOUSTON","TX",27,1228,137414.02,0,0,0,27,1228,137414.02,2.1403,"99226","99231","99223",0.4876819,0.4072718,0.4063825
"QO0210176","ALBUQUERQUE","NM",19,85,10552.25,0,0,0,19,85,10552.25,1.2668,"99203",NA,NA,0.4798108,NA,NA
"KP6453360","CHICAGO","IL",22,835,93350.83,0,0,0,22,835,93350.83,1.4972,"99213","99214","99215",0.701931,0.554928,0.5239054
"QA2693488","CHICAGO","IL",27,7816,237958.76,2,6460,37531.41,25,1356,200427.35,2.34,"J0585","99214","99215",0.5389188,0.5056289,0.4869437
"KF6623565","SAN ANTONIO","TX",27,3136,141609.67,NA,NA,NA,NA,NA,NA,1.6887,"99232","99223","95886",0.4217961,0.3969581,0.3963688
"WH3230368","PHILADELPHIA","PA",31,43667,397614.27,3,42535,249994.74,28,1132,147619.53,1.5149,"99223","99205","99215",0.5496091,0.4730621,0.439288
"VT7994514","LEBANON","NH",35,582,56419.24,0,0,0,35,582,56419.24,1.4044,"99205","99215","99204",0.5716536,0.5580466,0.5566177
"WR2187476","BAYSIDE","NY",48,20858,834141.77,1,17200,94435.9,47,3658,739705.87,1.3125,"92548","97110","99213",0.784,0.6844681,0.6530573
"RA3640074","PHILADELPHIA","PA",19,424,67236.34,0,0,0,19,424,67236.34,1.8804,"99214","99223","99204",0.4644993,0.4594159,0.4541219
"XZ8826672","QUINCY","IL",51,18197,294239.09,1,16600,91013,50,1597,203226.09,1.5657,"J0585","99213","95908",0.4314625,0.311217,0.3101107
"BW6151625","ALBANY","NY",24,1692,70610.18,NA,NA,NA,NA,NA,NA,1.4394,"99212","99204","99205",0.3369348,0.3237532,0.3237376
"YP9858950","HARLINGEN","TX",14,705,57528.68,0,0,0,14,705,57528.68,1.6652,"99212","99203","99213",0.6612245,0.5014246,0.5007436
"HB2665851","SACRAMENTO","CA",42,4004,175174.49,5,2733,14553.06,37,1271,160621.43,1.6572,"95913","95911","95910",0.6659416,0.2918976,0.287823
"ZY0107900","SHERMAN OAKS","CA",13,1579,211926.45,0,0,0,13,1579,211926.45,2.2611,"99232","99233","99223",0.30155,0.2894835,0.2769265
"WA1389325","DALLAS","TX",26,8990,134724.36,3,8288,41296.66,23,702,93427.7,1.565,"99232","99222","99354",0.3083243,0.3056471,0.2982247
"TI4927049","SAN LUIS OBISPO","CA",21,123,15218.77,0,0,0,21,123,15218.77,1.3535,"99203","99214","99205",0.3445882,0.3444706,0.3428074
"UL1125663","METAIRIE","LA",12,118,9277.69,NA,NA,NA,NA,NA,NA,1.0769,"99204","99213",NA,0.365618,0.3176162,NA
"NI5531992","NEW YORK","NY",25,576,98294.9,0,0,0,25,576,98294.9,1.9414,"99233","99223","99222",0.3281455,0.3228545,0.3221067
"ZZ9221735","BURBANK","CA",13,728,84853.95,0,0,0,13,728,84853.95,2.4175,"99233","99223","99232",0.4437811,0.4418066,0.429375
"XF7280314","BAYONNE","NJ",20,1113,123858.96,0,0,0,20,1113,123858.96,1.9448,"99205","99223","95909",0.3971333,0.3849351,0.3848308
"KF5347761","BALTIMORE","MD",14,191,26674.88,0,0,0,14,191,26674.88,1.4959,"99203","99222","99204",0.2613377,0.261318,0.2587609
"DH7558507","MOBILE","AL",41,746,69660.13,NA,NA,NA,NA,NA,NA,1.2685,"82607","84443","80053",0.806,0.8025,0.7844444
"XS6347774","AUBURN","NY",30,11287,203084.03,2,9973,51804.6,28,1314,151279.43,1.2488,"99233","J0585","99222",0.6843103,0.6525882,0.6175294
"MO1091484","MAYWOOD","IL",16,166,16884.33,0,0,0,16,166,16884.33,2.2579,"99204","99223","99222",0.5405078,0.5355294,0.4070213
"YD4909112","BROOKLINE","MA",11,184,27420.43,0,0,0,11,184,27420.43,2.016,"95951","99223","95816",0.2442813,0.2351181,0.232507
"YB3842577","INDIANA","PA",17,284,39806.94,NA,NA,NA,NA,NA,NA,2.1586,"99233","99215","99223",0.3647059,0.3604207,0.3414925
"JO8518244","DURHAM","NC",13,213,23360.51,0,0,0,13,213,23360.51,1.7273,"99222","99223","99233",0.4222055,0.3993858,0.3450688
"SP9120874","ATLANTA","GA",13,184,10421.7,0,0,0,13,184,10421.7,1.22,"99205","99215","92540",0.2618564,0.241446,0.2321742
"HQ9400893","ST PETERSBURG","FL",36,1613,80123.31,8,851,3861.57,28,762,76261.74,1.2754,"99232","99204","95816",0.5477636,0.5220616,0.5014974
"KH9134012","BRONX","NY",22,1005,122131.59,NA,NA,NA,NA,NA,NA,1.4032,"99215","99213","99205",0.7308134,0.6192058,0.594172
"GI9498536","OAK RIDGE","TN",11,1404,276102.63,0,0,0,11,1404,276102.63,1.2615,"99215","99205","99214",0.6321085,0.6287391,0.6133765
"MU2276635","SPRINGFIELD","OH",18,2132,218793.66,0,0,0,18,2132,218793.66,1.8293,"99221","99215","99232",0.7497,0.7252931,0.7025842
"RZ8361512","NEW HAVEN","CT",24,521,81783.97,0,0,0,24,521,81783.97,2.0045,"99223","99233","99232",0.2550526,0.2540465,0.2499583
"MY5487811","NEW YORK","NY",8,506,29950.52,0,0,0,8,506,29950.52,2.1099,"99222","99307","99204",0.3581433,0.3038988,0.2641295
"BK5559978","PHILADELPHIA","PA",20,172,15532.62,0,0,0,20,172,15532.62,1.6912,"99204","99232","99221",0.3949089,0.2199184,0.2193294
"PO5889974","BRISTOL","TN",40,6936,99535.16,NA,NA,NA,NA,NA,NA,1.5574,"90868","99222","99223",0.3853697,0.3727536,0.3556909
"OI2539707","FRESNO","CA",60,235624,3776719.33,20,230095,3370756.66,40,5529,405962.67,1.24,"99213","99212","99214",0.7258192,0.6985075,0.6377442
"GZ8643070","TUALATIN","OR",35,2616,89279.62,NA,NA,NA,NA,NA,NA,1.2756,"99233","99239","99232",0.3418333,0.3392,0.3347059
"FD9835060","ROCKAWAY PARK","NY",39,1239,111043.66,NA,NA,NA,NA,NA,NA,2.0245,"96116","95812","99223",0.7834974,0.6869518,0.6651525
"AP3461373","VERO BEACH","FL",84,18597,709837.74,11,12528,54364.45,73,6069,655473.29,1.2976,"99222","99223","95886",0.655563,0.6129455,0.5461953
"WC7201824","SOUTHFIELD","MI",35,4742,255918.68,NA,NA,NA,NA,NA,NA,1.5973,"99223","99213","95819",0.4710531,0.46385,0.3804143
"US8631561","PITTSFIELD","MA",36,8424,229196.33,NA,NA,NA,NA,NA,NA,1.3378,"99223","99232","95911",0.6477306,0.6404444,0.6331034
"NU7958802","SIOUX FALLS","SD",39,12321,151809.8,2,11642,63783.68,37,679,88026.12,1.4019,"95819","95912","99233",0.7712417,0.7535279,0.7522295
"UA6246429","MISHAWAKA","IN",47,1670,117371.64,3,886,4367.07,44,784,113004.57,1.7529,"99223","99232","99222",0.4989858,0.4969091,0.4737044
"LA2470544","QUINCY","MA",16,1388,170707.67,NA,NA,NA,NA,NA,NA,1.5087,"99223","99291","96101",0.4828935,0.4284906,0.4226315
"KE1102295","CHICAGO","IL",24,516,93990.67,0,0,0,24,516,93990.67,1.8172,"99213","99214","99223",0.4608029,0.3646076,0.3475781
"HP8183948","MIAMI","FL",20,21653,344650.66,1,21300,306237.3,19,353,38413.36,1.6823,"99221","99214","99205",0.3152812,0.2889019,0.2883314
"FV8499711","SAN FRANCISCO","CA",9,94,17425.16,0,0,0,9,94,17425.16,1.5364,"99291",NA,NA,0.30387,NA,NA
"EW6087780","PHILADELPHIA","PA",25,263,27454.06,0,0,0,25,263,27454.06,1.5334,"99205","99214","99215",0.5015164,0.4963896,0.4807977
"ZS4084246","DES MOINES","IA",7,291,40180.45,0,0,0,7,291,40180.45,1.2505,"99205","99215","99214",0.4467025,0.4443589,0.4416793
"UX9310772","PORTLAND","OR",46,895,58115.28,0,0,0,46,895,58115.28,1.5134,"99213","99214","99215",0.6466473,0.6138946,0.608125
"DY1978922","RALEIGH","NC",53,5556,221348.42,16,3882,56025.93,37,1674,165322.49,1.2806,"99214","99213","62270",0.4310029,0.4096408,0.3861613
"DM6193393","HOUSTON","TX",15,161,19084.75,0,0,0,15,161,19084.75,2.0782,"99233","99222","99214",0.3833149,0.3826879,0.311587
"LT6867440","BIRMINGHAM","AL",28,3186,121835.87,NA,NA,NA,NA,NA,NA,1.5572,"99214","99213","99215",0.6133488,0.544438,0.5368061
"VJ6970385","CLEVELAND","OH",22,476,37539.04,0,0,0,22,476,37539.04,1.4577,"99214","99204","99203",0.1778888,0.1773059,0.1731875
"XE1685227","CLEVELAND","OH",8,177,16370.11,0,0,0,8,177,16370.11,1.2131,"99205","99204","99213",0.1890791,0.1794819,0.1770645
"BZ8992909","CLEVELAND","OH",7,250,19677.12,0,0,0,7,250,19677.12,2.3546,"95813","95816","95819",0.1252539,0.1250087,0.1217244
"LL4389985","DETROIT","MI",20,409,44624.24,0,0,0,20,409,44624.24,2.8669,"99222","99232","99221",0.4969231,0.4930032,0.4878591
"PN2283145","KANSAS CITY","MO",16,474,44221.6,0,0,0,16,474,44221.6,1.2625,"99222","99205","99204",0.4025158,0.3944204,0.3771368
"OR8578597","LOS ANGELES","CA",8,320,33387.41,0,0,0,8,320,33387.41,1.7227,"99205","99214",NA,0.2412766,0.2221244,NA
"IR6128494","HIGH POINT","NC",35,2584,230736.56,NA,NA,NA,NA,NA,NA,1.6584,"99203","99204","99214",0.3556785,0.3359571,0.3228995
"SW1336995","ABINGTON","PA",32,310,59481.44,0,0,0,32,310,59481.44,1.6373,"99214","99233","99291",0.4835554,0.4537037,0.4214545
"GJ6155309","KALISPELL","MT",12,199,19996.68,0,0,0,12,199,19996.68,1.3612,"99204","99214","99213",0.4139556,0.4038125,0.3822864
"FG5389332","HOUSTON","TX",17,394,36570.81,0,0,0,17,394,36570.81,1.5003,"99327","99335","99326",0.7839673,0.7549,0.6908077
"XO8058979","HERSHEY","PA",24,314,31055.06,0,0,0,24,314,31055.06,1.3332,"99204","99214","99233",0.2822221,0.2725702,0.2282621
"ET9410454","WILKES BARRE","PA",7,140,11665.46,0,0,0,7,140,11665.46,1.4248,"99215","99204","99213",0.3585223,0.3311651,0.3011255
"DY7864241","VOORHEES","NJ",38,3034,98607.28,3,2313,12685.77,35,721,85921.51,1.8254,"99205","99213","99204",0.6315535,0.5969891,0.596453
"VV7504098","LOUISVILLE","KY",29,700,100022.58,0,0,0,29,700,100022.58,2.0069,"95813","99233","99205",0.6697154,0.4341667,0.4225173
"QG9237904","TEMPLE","TX",42,1185,125073.27,0,0,0,42,1185,125073.27,1.3393,"99220","99223","99205",0.3862931,0.381746,0.3047888
"AH3363874","PEABODY","MA",37,13032,272827.33,1,11900,65452.1,36,1132,207375.23,1.4529,"95957","95951","J0585",0.6962095,0.6221071,0.5667187
"EH2630239","CLINTON TOWNSHIP","MI",20,762,144297.84,0,0,0,20,762,144297.84,1.4979,"99205","99215","99214",0.6044211,0.6033967,0.5732619
"XT8137004","ROSEBURG","OR",42,3234.5,119845.26,3,2240.5,11901.3,39,994,107943.96,1.2365,"95886","95910","95909",0.3325712,0.301917,0.2950105
"WX7457584","LYNBROOK","NY",54,3878.5,592609.96,1,636,1253.1,53,3242.5,591356.86,1.7571,"99223","99291","96102",0.784037,0.7840072,0.7839744
"ID7941357","MARGATE","FL",16,638,94835.53,0,0,0,16,638,94835.53,1.4514,"95816","95861","99214",0.6316,0.560625,0.4830818
"MI0606538","LANCASTER","CA",41,2446,298689.91,4,28,116.97,37,2418,298572.94,1.8504,"95911","95908","95910",0.6476414,0.6440346,0.63977
"DN9285243","BELMONT","MA",5,33,3022.8,0,0,0,5,33,3022.8,1.6006,"95816",NA,NA,0.2243113,NA,NA
"HP8399463","CHARLOTTESVILLE","VA",28,854,101003.87,0,0,0,28,854,101003.87,1.2972,"99213","99214","99204",0.5167435,0.4997903,0.4910453
"WC1314314","SACRAMENTO","CA",18,184,16383.21,0,0,0,18,184,16383.21,1.8074,"99215","99214","99213",0.2442523,0.2397029,0.2220128
"QO3809148","BLOOMFIELD HILLS","MI",40,3663,419487.19,NA,NA,NA,NA,NA,NA,2.1365,"99232","99233","99213",0.6116222,0.6018571,0.5894
"PH0925089","DENVER","CO",43,12587,296776.41,7,11483,176037.84,36,1104,120738.57,1.2561,"J0585","95816","95910",0.6597955,0.6319865,0.6099583
"FA9105896","OAK BROOK","IL",18,6343,864165.19,0,0,0,18,6343,864165.19,2.6202,"99214","99233","99232",0.4331095,0.4114164,0.3902733
"VF4539634","BEACHWOOD","OH",23,2620,207897.1,0,0,0,23,2620,207897.1,2.1302,"99214","95816","99233",0.6007594,0.6001042,0.596685
"FK0058736","AKRON","OH",8,112,9260.18,0,0,0,8,112,9260.18,1.3964,"99309","99308",NA,0.3620521,0.340593,NA
"UV9505829","GAINESVILLE","FL",23,897,122395.58,NA,NA,NA,NA,NA,NA,2.3048,"99215","99214","99213",0.2190652,0.2005006,0.1908785
"SX3113084","BEVERLY HILLS","CA",80,5176,213568.17,13,4039,62942.05,67,1137,150626.12,1.7816,"99215","64491","99214",0.6662053,0.6533547,0.6389307
"FT4688763","JACKSON","MS",14,3934,287192.69,0,0,0,14,3934,287192.69,1.8893,"99285","99214","99232",0.5085714,0.42109,0.3983125
"RT0106453","NORWICH","CT",53,19933,238833.5,1,18900,103934.4,52,1033,134899.1,1.456,"99215","99214","99233",0.60645,0.5003265,0.4913643
"CE2828560","KANSAS CITY","KS",27,1067,102082.33,0,0,0,27,1067,102082.33,2.0622,"95819","95816","G0453",0.5865981,0.3771502,0.3195044
"XR8888564","SAN ANTONIO","TX",31,1218,113743.43,NA,NA,NA,NA,NA,NA,1.2601,"95816","64615","95819",0.4604198,0.46001,0.4171143
"LG8352773","CHARLESTON","SC",10,79,4092.88,0,0,0,10,79,4092.88,1.811,"99202",NA,NA,0.2533074,NA,NA
"SD4572348","STATEN ISLAND","NY",14,1344,206731.03,0,0,0,14,1344,206731.03,1.4654,"95911","99306","95886",0.7707706,0.768294,0.7557191
"WW4168538","HONOLULU","HI",19,817,77531.64,0,0,0,19,817,77531.64,1.287,"99215","99214","99204",0.3725236,0.3698487,0.351857
"EU5479833","ASHEVILLE","NC",11,1096,132788.79,0,0,0,11,1096,132788.79,0.9488,"95911","99213","95910",0.5472779,0.543582,0.5435002
"UW2486743","FAIRFIELD","CA",15,629,76928.5,0,0,0,15,629,76928.5,1.4295,"99214","99213","99204",0.5570935,0.5246237,0.5206637
"VS4508081","AUGUSTA","GA",17,576,51587.45,0,0,0,17,576,51587.45,1.3118,"64616","95874","99214",0.5190214,0.5073964,0.3401404
"NR3944715","WACO","TX",29,4681,306154.63,2,2380,17083.05,27,2301,289071.58,1.5973,"99232","95819","99223",0.5356832,0.5328182,0.4973943
"NO9060185","NEW YORK","NY",27,489,57321.21,0,0,0,27,489,57321.21,1.687,"99213","99215","99214",0.3076744,0.3015116,0.2992837
"PD5948733","NORMAN","OK",23,1651,148856.57,1,15,32.93,22,1636,148823.64,1.5047,"96372","99223","99233",0.5873333,0.4827324,0.4785772
"WB8976277","MCHENRY","IL",21,461,33099.06,NA,NA,NA,NA,NA,NA,1.0049,"99213","99214","90832",0.4557333,0.4366801,0.3596101
"LZ9224170","SEATTLE","WA",9,565,52921.8,0,0,0,9,565,52921.8,2.5023,"90832","90837","90834",0.7514174,0.750155,0.7090256
"VM9033759","GILBERT","AZ",10,4918,151291.83,NA,NA,NA,NA,NA,NA,1.2358,"99213","99203","99204",0.5501001,0.5100606,0.4968728
"FE6272744","RAPID CITY","SD",32,453,63708.22,NA,NA,NA,NA,NA,NA,1.1162,"99205","99214","99215",0.3732654,0.3717339,0.3603374
"SF3417117","BURR RIDGE","IL",19,881,92375.58,0,0,0,19,881,92375.58,2.0089,"99214","99204","99233",0.2796583,0.2780678,0.2778107
"MP0724613","MOBERLY","MO",23,1014,111576.68,0,0,0,23,1014,111576.68,1.4012,"99222","99214","95819",0.6182994,0.6055878,0.54916
"IM2370311","SPOKANE","WA",55,19656,337884.29,4,17945,106552.22,51,1711,231332.07,1.307,"64612","64616","99215",0.5091379,0.4256339,0.405508
"KS1699008","BURLINGTON","MA",10,190,22161.27,NA,NA,NA,NA,NA,NA,1.1576,"99214","99205","99215",0.2782287,0.277992,0.2605103
"WK7911193","WAUSAU","WI",6,242,7811.17,0,0,0,6,242,7811.17,0.5689,"95938","G0453","95870",0.1615956,0.12371844,0.07156603
"XD1833771","WINFIELD","IL",29,25842,311170.34,3,24551,156862.7,26,1291,154307.64,1.497,"99213","99204","99215",0.4638799,0.4481994,0.4478358
"LW2617138","SACRAMENTO","CA",14,649,103995.45,0,0,0,14,649,103995.45,1.198,"95886","99205","99204",0.6950056,0.6696964,0.6434756
"RF6180680","WEBSTER","TX",12,397,35384.57,0,0,0,12,397,35384.57,2.2705,"99233","99221","99232",0.5864593,0.5013156,0.4791275
"CE6652471","FRAMINGHAM","MA",22,826,93166.83,0,0,0,22,826,93166.83,1.5296,"99205","99214","99213",0.4518641,0.4443632,0.4066618
"ZT3035671","NEW YORK","NY",11,307,36985.09,0,0,0,11,307,36985.09,1.4778,"99205","99215","99214",0.2884067,0.2882803,0.2708085
"XV8302967","SCOTTSDALE","AZ",26,3029,362667.02,0,0,0,26,3029,362667.02,1.6632,"99232","99233","99213",0.6309243,0.622304,0.60672
"OA5627456","SEATTLE","WA",25,540,31129.02,0,0,0,25,540,31129.02,1.3925,"G0453","95955","95937",0.4559154,0.3690164,0.3601235
"SO6234114","BIRMINGHAM","AL",25,5145,185797.06,NA,NA,NA,NA,NA,NA,1.4086,"99223","99205","99215",0.7681723,0.7356599,0.6879813
"GY6507965","TEANECK","NJ",9,206,35368.11,0,0,0,9,206,35368.11,1.5707,"99205","99215","99214",0.7396822,0.7008209,0.5725639
"OW8165260","FRESNO","CA",56,8882,562396.03,5,3684,20446.62,51,5198,541949.41,1.5957,"95957","95978","G0431",0.74316,0.6993562,0.6467104
"CC6666203","CASPER","WY",53,24149,541330.01,6,21641,253509.95,47,2508,287820.06,1.3049,"95816","95819","99223",0.5590735,0.5209528,0.3840737
"NT5626317","NASHUA","NH",48,3500,91102.39,NA,NA,NA,NA,NA,NA,1.4291,"99220","99223","99233",0.4687516,0.4659725,0.4397867
"CC4406170","KINGSPORT","TN",31,11587,140062.75,2,10704,58771.3,29,883,81291.45,1.2715,"J0585","99215","99204",0.4167048,0.3434161,0.3335494
"VF1910686","KNOXVILLE","TN",5,60,3989.01,0,0,0,5,60,3989.01,1.6201,"99334",NA,NA,0.4000885,NA,NA
"KZ5566267","SEATTLE","WA",25,457,59094.98,0,0,0,25,457,59094.98,1.5175,"95911","99223","95886",0.3771094,0.3564989,0.3500854
"KF3167444","LUFKIN","TX",24,6331,575562.17,NA,NA,NA,NA,NA,NA,1.7975,"95957","95886","99232",0.7490298,0.562775,0.4127472
"UR4359656","SEATTLE","WA",23,172,14495.78,0,0,0,23,172,14495.78,1.4038,"99214",NA,NA,0.3051935,NA,NA
"VM9949142","ROCHESTER","NY",25,154,18111.69,0,0,0,25,154,18111.69,1.1772,"99205","99214",NA,0.2241145,0.1758949,NA
"BE3091606","COLUMBIA","MO",49,6908,237825.9,NA,NA,NA,NA,NA,NA,1.373,"99291","99232","99212",0.4412468,0.440312,0.436303
"TA7038710","BOSTON","MA",6,110,11106.72,0,0,0,6,110,11106.72,1.5156,"99204","99214","99215",0.2248216,0.2192858,0.2161805
"VW3955008","MEADVILLE","PA",18,571,67532.42,0,0,0,18,571,67532.42,2.1539,"99232","99223","99221",0.452481,0.4440405,0.4288833
"YJ9839042","KANKAKEE","IL",24,2087,145086.14,0,0,0,24,2087,145086.14,1.6214,"99222","99214","99232",0.4451012,0.4348015,0.4306923
"LK6724355","DALLAS","TX",29,1051,98777.26,0,0,0,29,1051,98777.26,2.6636,"99233","99232","99222",0.5136875,0.5109384,0.479336
"NW0240537","HUNTSVILLE","AL",56,13880,378261.88,4,10669,85689.66,52,3211,292572.22,1.5508,"95885","96119","95886",0.6960964,0.6698846,0.6250277
"XR7284427","NASHVILLE","TN",36,555,44664.95,0,0,0,36,555,44664.95,1.5804,"99205","99204","99215",0.2602003,0.2358638,0.2341963
"TF6757733","GREENWOOD VILLAGE","CO",16,565,26908.74,0,0,0,16,565,26908.74,1.1266,"G0453","95861","95870",0.20315546,0.10532694,0.07516325
"YN1796054","PITTSBURGH","PA",19,431,66718.47,0,0,0,19,431,66718.47,2.0044,"99215","99214","95816",0.3678555,0.3213298,0.2469026
"JY1829416","LAWRENCE","MA",30,1572,184202.34,NA,NA,NA,NA,NA,NA,1.607,"95911","99233","95910",0.36,0.3593484,0.3485925
"QT3409166","EASTON","MD",25,1360,172639.98,0,0,0,25,1360,172639.98,1.4654,"95913","95912","95886",0.7092128,0.6414127,0.5407901
"CQ2278826","GRAND RAPIDS","MI",7,35,3664.79,0,0,0,7,35,3664.79,1.7026,"95816",NA,NA,0.3849885,NA,NA
"TE6462298","WILMINGTON","NC",23,714,67529.65,0,0,0,23,714,67529.65,1.3501,"90837","90834","90847",0.7824185,0.7672427,0.7661138
"JA1227224","DURHAM","NC",38,19239,171555.23,14,18542,101933.67,24,697,69621.56,0.8903,"J0585","99213","96372",0.5154398,0.3706436,0.370611
"XM3056734","FREDERICKSBURG","VA",15,1188,153144.71,0,0,0,15,1188,153144.71,1.5495,"99232","99233","99223",0.3611549,0.3571986,0.3530922
"VW8215124","SAN JOSE","CA",12,79,14672.68,0,0,0,12,79,14672.68,2.7718,"99215","99205",NA,0.6741494,0.6617477,NA
"CE7772023","VIRGINIA BEACH","VA",20,1229,114906.2,0,0,0,20,1229,114906.2,1.5183,"99222","99232","99215",0.4810333,0.436206,0.3802533
"SZ8274659","ROSEVILLE","CA",10,781,98339.46,0,0,0,10,781,98339.46,1.0591,"99214","99215","99213",0.2495199,0.2477737,0.2450732
"NQ3603929","MOUNTAIN VIEW","CA",29,4843,84123.28,3,4418,24275.06,26,425,59848.22,1.4188,"99215","99213","99204",0.3234165,0.3150311,0.2975707
"AU4992640","HOUSTON","TX",16,1053,42420.58,NA,NA,NA,NA,NA,NA,1.5522,"99213","99214",NA,0.187607,0.1771118,NA
"BN7233608","GLEN COVE","NY",19,142,19764.87,0,0,0,19,142,19764.87,2.0301,"99223","99204","99231",0.2058404,0.2035823,0.1912088
"TE9644482","JACKSONVILLE","FL",13,318,52845.11,0,0,0,13,318,52845.11,1.722,"99223","99231","99233",0.4317867,0.4161333,0.4113
"YB4151626","MONTGOMERY","AL",29,598,95729.93,0,0,0,29,598,95729.93,1.4265,"96119","99223","99233",0.4293333,0.4067742,0.4065969
"EL4966887","SAN DIEGO","CA",20,577,58898.82,0,0,0,20,577,58898.82,1.9241,"99223","99233","99232",0.3432164,0.3403433,0.3264746
"KH6160435","JAMAICA PLAIN","MA",14,3673,49658.94,NA,NA,NA,NA,NA,NA,1.2964,"99213","99204","99214",0.242922,0.2409026,0.2270376
"UX5166620","VANCOUVER","WA",23,499,61785.07,0,0,0,23,499,61785.07,1.3367,"99213","99214","95909",0.6059,0.5757929,0.5401478
"PM6540908","PHILADELPHIA","PA",19,470,47027.48,NA,NA,NA,NA,NA,NA,1.2183,"99215","99205","99231",0.4531989,0.4371559,0.4227975
"LC2732713","ALLENTOWN","PA",13,574,78401.84,0,0,0,13,574,78401.84,1.7575,"99223","99232","99233",0.4026923,0.39495,0.3682183
"OA4742005","LAS VEGAS","NV",41,3426,126313.86,NA,NA,NA,NA,NA,NA,1.5493,"99212","99205","99204",0.3187701,0.3026105,0.3013525
"PW1864060","MARQUETTE","MI",25,1150,107218.94,0,0,0,25,1150,107218.94,1.363,"99204","99215","99205",0.7714624,0.7305983,0.6219365
"KZ3729371","HOUSTON","TX",30,7000,118970.84,2,6001,33096.71,28,999,85874.13,2.2319,"J0585","99214","99213",0.6652133,0.4916456,0.4783271
"MM3730955","ROCHESTER","MN",17,51,6505.98,0,0,0,17,51,6505.98,1.6984,"99205","99215",NA,0.6817337,0.609088,NA
"EW6417790","CHARLOTTESVILLE","VA",11,984,118464.9,0,0,0,11,984,118464.9,1.9424,"99223","99233","99232",0.5593289,0.4959089,0.4865209
"ZI5601090","BALTIMORE","MD",17,128,15547.4,0,0,0,17,128,15547.4,1.4536,"99204","99205","99215",0.3020933,0.2725581,0.2545706
"ZQ9581655","WEST HOLLYWOOD","CA",16,357,40740.89,0,0,0,16,357,40740.89,2.058,"99223","99222","99232",0.2713301,0.2706113,0.2681481
"PL9035613","DORCHESTER","MA",21,1391,180982.56,0,0,0,21,1391,180982.56,1.9455,"99223","99222","99233",0.2806461,0.2717996,0.2618251
"UQ6335691","SHREVEPORT","LA",32,340,34302.42,0,0,0,32,340,34302.42,1.4012,"99232","95951","99222",0.4063704,0.3570571,0.3495238
"VB8134920","SPARKS","NV",16,795,63074.3,NA,NA,NA,NA,NA,NA,1.2764,"99354","99214","99205",0.3874402,0.3802668,0.3489952
"TP7644763","MANHASSET","NY",18,379,52956.73,0,0,0,18,379,52956.73,1.7302,"99222","99214","99215",0.2037055,0.2031258,0.19887
"HN2439178","SPRINGFIELD","MA",5,55,8736.56,0,0,0,5,55,8736.56,1.6629,"99223","99222","99232",0.3870883,0.3857544,0.3842667
"RU0034636","COLUMBIA","SC",17,328,44103.39,0,0,0,17,328,44103.39,1.6589,"99232","99222","99205",0.2967631,0.2030861,0.1974098
"DC3377369","LAWRENCEBURG","TN",28,1648,184956.3,NA,NA,NA,NA,NA,NA,1.3371,"99215","95886","99213",0.3376225,0.3326368,0.3265099
